Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
21073,海通月月财9月期8号,债券策略,查看,海通证券,查看,-1.50%,查看,1.0000,0.00%,查看,查看,查看,,,
21074,汇腾一号,股票策略,查看,汇腾投资,查看,15.09%,查看,1.1509,15.09%,查看,查看,查看,,,
21075,惠和,股票策略,查看,惠和投资,查看,-5.48%,查看,0.9221,45.14%,查看,查看,查看,,,
21076,鼎元恒泰一期,股票策略,查看,鼎元资产,查看,11.17%,查看,1.0977,9.77%,查看,查看,查看,,,
21077,光大阳光集结号收益型12期B,股票策略,查看,光大证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21078,泰月方尊一号,多策略,查看,泰月添富投资,查看,28.23%,查看,1.0606,35.64%,查看,查看,查看,,,
21079,洪昌价值成长一号,股票策略,查看,洪昌投资,查看,10.18%,查看,1.9150,91.50%,查看,查看,查看,,,
21080,穗富11号(长安投资304号),股票策略,查看,穗富投资,查看,-13.97%,查看,0.8155,33.69%,查看,查看,查看,,,
21081,丰泰1号,债券策略,查看,恒丰泰石,查看,-4.92%,查看,1.1020,30.20%,查看,查看,查看,,,
21082,常春藤12期财富1期,股票策略,查看,常春藤资产,查看,--,查看,1.5561,55.61%,查看,查看,查看,,,
21083,海通海富24号B,定向增发,查看,海通证券,查看,31.84%,查看,2.9253,192.53%,查看,查看,查看,,,
21084,奇获套利一号,套利策略,查看,奇获投资,查看,9.70%,查看,1.0970,9.70%,查看,查看,查看,,,
21085,富安达博道全天候1号,股票策略,查看,博道投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21086,国金慧源7号,债券策略,查看,国金证券,查看,--,查看,1.0113,1.69%,查看,查看,查看,,,
21087,长安施恩1号,股票策略,查看,施恩资产,查看,--,查看,0.9012,-9.88%,查看,查看,查看,,,
21088,东吴汇智7号优先级12个月12期,债券策略,查看,东吴证券,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21089,创信研究证券投资,股票策略,查看,创势翔投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
21090,清水源21号,股票策略,查看,清水源投资,查看,2.33%,查看,0.7460,-25.40%,查看,查看,查看,,,
21091,中信建投创新成长,股票策略,查看,海富通,查看,9.21%,查看,1.2920,29.20%,查看,查看,查看,,,
