Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
40718,鑫义量特一号,股票策略,查看,上海鑫义,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40719,以太投资趋势7号,股票策略,查看,以太投资青岛,查看,-1.24%,查看,1.1981,19.81%,查看,查看,查看,,,
40720,雁丰股票增强1号,股票策略,查看,雁丰投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40721,德传丹参5号,股票策略,查看,德传投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40722,天启2号A,多策略,查看,天风天成,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40723,铂睿稳健1号,股票策略,查看,铂睿资产珠海,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40724,长凯3号证券投资结构化,多策略,查看,中投期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40725,深圳市兆泽利丰3号,股票策略,查看,兆泽利丰投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40726,子午投资-嘉华指数增强型,股票策略,查看,子午投资,查看,--,查看,1.1273,12.73%,查看,查看,查看,,,
40727,羽时互联网2号,股票策略,查看,羽时资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40728,凯世富乐稳健11号,定向增发,查看,凯世富乐资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40729,首善囯际资产多策略2期,其他,查看,中投首善资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40730,远洋基金33号,股票策略,查看,陆家嘴财富,查看,--,查看,1.0230,2.30%,查看,查看,查看,,,
40731,双辉6号2期,组合策略,查看,建信期货,查看,0.36%,查看,1.0036,0.36%,查看,查看,查看,,,
40732,百融资管万顺一号,股票策略,查看,百融资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40733,中邮新动力对冲1期,组合策略,查看,中邮鸿信,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
40734,中投保信裕梧桐6号,股票策略,查看,中投保信,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
