Ranking,Fund Short Name,Investment Strategy,Dummy,Fund Company,Dummy,Recent Month Return,Dummy,Lastest NAV,Cumulative Return,Dummy,Dummy,Dummy,Annalized Return,Sharpe Ratio,Year Rating
43588,小黑妞福星1号,管理期货,查看,小黑妞资产,查看,--,查看,1.1150,11.50%,查看,查看,查看,,,
43589,通怡青柠,股票策略,查看,通怡投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43590,知方石份额宝,股票策略,查看,知方石,查看,--,查看,1.0500,5.00%,查看,查看,查看,,,
43591,惠丰全球价值优选,股票策略,查看,惠丰资产,查看,--,查看,0.9880,-1.20%,查看,查看,查看,,,
43592,鸿凯进取3号,股票策略,查看,鸿凯投资,查看,--,查看,1.0119,1.19%,查看,查看,查看,,,
43593,私享-价值7期管理型,股票策略,查看,私享投资,查看,--,查看,1.0419,4.19%,查看,查看,查看,,,
43594,伯兄永元,股票策略,查看,伯兄资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43595,零星二号,股票策略,查看,零星资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43596,牧鑫朝阳1号,股票策略,查看,牧鑫资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43597,喆颢资本市场量化策略D,股票策略,查看,喆颢资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43598,鼎元成也量化五期,股票策略,查看,成也基金,查看,--,查看,1.0149,1.49%,查看,查看,查看,,,
43599,山谷三号,股票策略,查看,卓凯投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43600,大风2号,股票策略,查看,大风资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43601,广金资产昆仑1号,股票策略,查看,珠江资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43602,长尾精选二号,股票策略,查看,长尾资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43603,天路三号,股票策略,查看,神州牧基金,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43604,私募工场弗睿得价值金选1,股票策略,查看,弗睿得投,查看,--,查看,1.2250,22.50%,查看,查看,查看,,,
43605,泽源9号,股票策略,查看,泽源资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43606,嘉林资产启航1号,股票策略,查看,嘉林资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43607,成泉汇涌八期尊享AJ期,股票策略,查看,成泉资本,查看,--,查看,1.0058,0.58%,查看,查看,查看,,,
43608,仟红云申1号私募投资,股票策略,查看,仟红投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43609,上善御富量化阿尔法,对冲策略,查看,上善御富,查看,--,查看,0.9384,-6.16%,查看,查看,查看,,,
43610,古曲量化一号,股票策略,查看,古曲投资,查看,--,查看,0.8780,-12.20%,查看,查看,查看,,,
43611,利曦稳健成长,股票策略,查看,利曦资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43612,搏股通金2号,股票策略,查看,北京和聚投资,查看,4.57%,查看,2.2660,126.60%,查看,查看,查看,,,
43613,凯思博多策略一号,股票策略,查看,凯思博投资,查看,--,查看,0.9793,-2.07%,查看,查看,查看,,,
43614,深圳市泰平汇赢,其他,查看,恒泰华盛资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43615,景云资本鸿云1号,股票策略,查看,景云资本,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43616,大唐财富唐诺29号,股票策略,查看,大唐财富投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43617,天风天成天星1号,多策略,查看,天风天成,查看,--,查看,1.1927,19.27%,查看,查看,查看,,,
43618,金诚稳赢-商业银行,其他,查看,金转源投资管理,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43619,上海博范投资,定向增发,查看,凯银投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43620,植瑞-长青28号,股票策略,查看,植瑞投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43621,少数派83号,股票策略,查看,少薮派投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43622,先融-锐尊8号,其他,查看,中电投先融,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43623,涵基2号,多策略,查看,上海涵基投资,查看,--,查看,0.9627,-3.73%,查看,查看,查看,,,
43624,搏股通金量化9号民晟,对冲策略,查看,民晟资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43625,富达环球周黑鸭1号,股票策略,查看,能量高飞,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43626,汇富白银一号,管理期货,查看,白银资产,查看,--,查看,2.4444,144.44%,查看,查看,查看,,,
43627,文杭1号,多策略,查看,银河期货,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43628,致远CTA陆家嘴精选2期,管理期货,查看,富善投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43629,君行4号,股票策略,查看,伊洛投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43630,米多恒久,股票策略,查看,米多资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43631,拙进厚诚敏1号(2期),对冲策略,查看,拙进资产,查看,--,查看,0.9970,-0.30%,查看,查看,查看,,,
43632,富汇华夏实体企业1号,股票策略,查看,富汇华夏,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43633,平安财富-固盈A-051号,债券策略,查看,平安德成,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43634,中证金葵花恒远13号,债券策略,查看,中证金葵花,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43635,陆金泓7号,其他,查看,陆家嘴,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43636,御河投资-天晟3号,股票策略,查看,御河投资,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43637,平安财富-固盈A-043号,债券策略,查看,平安德成,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43638,翼牛沣泛黄埔三期2号,股票策略,查看,翼牛资产,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
43639,海纳泉盈一号,股票策略,查看,海纳投资台州,查看,--,查看,1.0000,0.00%,查看,查看,查看,,,
